适应度, 迭代次数, 距离之和
114222.01792831562, 2280, 0
114222.01792831562, 2279, 0
114222.01792831562, 2278, 0
114222.01792831562, 2277, 0
114222.01792831562, 2276, 0
114222.01792831562, 2275, 0
114222.01792831562, 2274, 0
114222.01792831562, 2273, 0
114222.01792831562, 2272, 0
114222.01792831562, 2271, 0
114222.01792831562, 2270, 0
114222.01792831562, 2269, 0
114222.01792831562, 2268, 0
114222.01792831562, 2267, 0
114222.01792831562, 2266, 0
114222.01792831562, 2265, 0
114222.01792831562, 2264, 0
114222.01792831562, 2263, 0
114222.01792831562, 2262, 0
114222.01792831562, 2261, 0
114222.01792831562, 2260, 0
114222.01792831562, 2259, 0
114222.01792831562, 2258, 0
114222.01792831562, 2257, 0
114222.01792831562, 2256, 0
114222.01792831562, 2255, 0
114222.01792831562, 2254, 0
114222.01792831562, 2253, 0
114222.01792831562, 2252, 0
114222.01792831562, 2251, 0
114222.01792831562, 2250, 0
114222.01792831562, 2249, 0
114222.01792831562, 2248, 0
114222.01792831562, 2247, 0
114222.01792831562, 2246, 0
114222.01792831562, 2245, 0
114222.01792831562, 2244, 0
114222.01792831562, 2243, 0
114222.01792831562, 2242, 0
114222.01792831562, 2241, 0
114222.01792831562, 2240, 0
114222.01792831562, 2239, 0
114222.01792831562, 2238, 0
114222.01792831562, 2237, 0
114222.01792831562, 2236, 0
114222.01792831562, 2235, 0
114222.01792831562, 2234, 0
114222.01792831562, 2233, 0
114222.01792831562, 2232, 0
114222.01792831562, 2231, 0
114222.01792831562, 2230, 0
114222.01792831562, 2229, 0
114222.01792831562, 2228, 0
114222.01792831562, 2227, 0
114222.01792831562, 2226, 0
114222.01792831562, 2225, 0
114222.01792831562, 2224, 0
114222.01792831562, 2223, 0
114222.01792831562, 2222, 0
114222.01792831562, 2221, 0
114222.01792831562, 2220, 0
114222.01792831562, 2219, 0
114222.01792831562, 2218, 0
114222.01792831562, 2217, 0
114222.01792831562, 2216, 0
114222.01792831562, 2215, 0
114222.01792831562, 2214, 0
114222.01792831562, 2213, 0
114222.01792831562, 2212, 0
114222.01792831562, 2211, 0
114222.01792831562, 2210, 0
114222.01792831562, 2209, 0
114222.01792831562, 2208, 0
114222.01792831562, 2207, 0
114222.01792831562, 2206, 0
114222.01792831562, 2205, 0
114222.01792831562, 2204, 0
114222.01792831562, 2203, 0
114222.01792831562, 2202, 0
114222.01792831562, 2201, 0
114222.01792831562, 2200, 0
114222.01792831562, 2199, 0
114222.01792831562, 2198, 0
114222.01792831562, 2197, 0
114222.01792831562, 2196, 0
114222.01792831562, 2195, 0
114222.01792831562, 2194, 0
114222.01792831562, 2193, 0
114222.01792831562, 2192, 0
114222.01792831562, 2191, 0
114222.01792831562, 2190, 0
114222.01792831562, 2189, 0
114222.01792831562, 2188, 0
114222.01792831562, 2187, 0
114222.01792831562, 2186, 0
114222.01792831562, 2185, 0
114222.01792831562, 2184, 0
114222.01792831562, 2183, 0
114222.01792831562, 2182, 0
114222.01792831562, 2181, 0
114222.01792831562, 2180, 0
114222.01792831562, 2179, 0
114222.01792831562, 2178, 0
114222.01792831562, 2177, 0
114222.01792831562, 2176, 0
114222.01792831562, 2175, 0
114222.01792831562, 2174, 0
114222.01792831562, 2173, 0
114222.01792831562, 2172, 0
114222.01792831562, 2171, 0
114222.01792831562, 2170, 0
114222.01792831562, 2169, 0
114222.01792831562, 2168, 0
114222.01792831562, 2167, 0
114222.01792831562, 2166, 0
114222.01792831562, 2165, 0
114222.01792831562, 2164, 0
114222.01792831562, 2163, 0
114222.01792831562, 2162, 0
114222.01792831562, 2161, 0
114222.01792831562, 2160, 0
114222.01792831562, 2159, 0
114222.01792831562, 2158, 0
114222.01792831562, 2157, 0
114222.01792831562, 2156, 0
114222.01792831562, 2155, 0
114222.01792831562, 2154, 0
114222.01792831562, 2153, 0
114222.01792831562, 2152, 0
114222.01792831562, 2151, 0
114222.01792831562, 2150, 0
114222.01792831562, 2149, 0
114222.01792831562, 2148, 0
114222.01792831562, 2147, 0
114222.01792831562, 2146, 0
114222.01792831562, 2145, 0
114222.01792831562, 2144, 0
114222.01792831562, 2143, 0
114222.01792831562, 2142, 0
114222.01792831562, 2141, 0
114222.01792831562, 2140, 0
114222.01792831562, 2139, 0
114222.01792831562, 2138, 0
114222.01792831562, 2137, 0
114222.01792831562, 2136, 0
114222.01792831562, 2135, 0
114222.01792831562, 2134, 0
114222.01792831562, 2133, 0
114222.01792831562, 2132, 0
114222.01792831562, 2131, 0
114222.01792831562, 2130, 0
114222.01792831562, 2129, 0
114222.01792831562, 2128, 0
114222.01792831562, 2127, 0
114222.01792831562, 2126, 0
114222.01792831562, 2125, 0
114222.01792831562, 2124, 0
114222.01792831562, 2123, 0
114222.01792831562, 2122, 0
114222.01792831562, 2121, 0
114222.01792831562, 2120, 0
114222.01792831562, 2119, 0
114222.01792831562, 2118, 0
114222.01792831562, 2117, 0
114222.01792831562, 2116, 0
114222.01792831562, 2115, 0
114222.01792831562, 2114, 0
114222.01792831562, 2113, 0
114222.01792831562, 2112, 0
114222.01792831562, 2111, 0
114222.01792831562, 2110, 0
114222.01792831562, 2109, 0
114222.01792831562, 2108, 0
114222.01792831562, 2107, 0
114222.01792831562, 2106, 0
114222.01792831562, 2105, 0
114222.01792831562, 2104, 0
114222.01792831562, 2103, 0
114222.01792831562, 2102, 0
114222.01792831562, 2101, 0
