适应度, 迭代次数, 距离之和
120693.59479413221, 2721, 1737207
119659.25298499555, 2720, 1737739
117540.12985161928, 2719, 1730474
117540.12985161928, 2718, 1731585
120184.43001604812, 2717, 1738552
120463.06504154493, 2716, 1734564
116471.17131060998, 2715, 1724623
116377.53331195588, 2714, 1724173
112930.18365105576, 2713, 1733165
112930.18365105576, 2712, 1739270
112930.18365105576, 2711, 1734158
117730.38840070557, 2710, 1737374
118080.21227822531, 2709, 1736531
114221.04640364362, 2708, 1734412
118735.69273681664, 2707, 1731888
115347.33300328437, 2706, 1735858
117341.26847847726, 2705, 1744599
117341.26847847726, 2704, 1743995
117341.26847847726, 2703, 1744811
117341.26847847726, 2702, 1743176
116677.05114864018, 2701, 1739168
118762.20950968663, 2700, 1741735
118762.20950968663, 2699, 1746458
107558.19247311383, 2698, 1741970
113610.24605192454, 2697, 1741764
119409.11225187306, 2696, 1737360
117510.07898869207, 2695, 1732327
120623.3634991946, 2694, 1727308
120623.3634991946, 2693, 1728448
120514.57821756497, 2692, 1735939
120083.52288012198, 2691, 1734644
118642.17419536388, 2690, 1737479
120083.52288012198, 2689, 1740957
120083.52288012198, 2688, 1744444
119933.29162107063, 2687, 1744581
108003.18157086376, 2686, 1744967
108003.18157086376, 2685, 1744990
107820.27071162585, 2684, 1742164
120615.5904329943, 2683, 1742154
117053.52008530126, 2682, 1743352
117053.52008530126, 2681, 1738936
115692.59661101902, 2680, 1728085
115692.59661101902, 2679, 1717681
116970.24471525835, 2678, 1723168
115546.13471830993, 2677, 1719006
117627.31822380354, 2676, 1728449
117627.31822380354, 2675, 1732625
116330.2239471653, 2674, 1732996
116330.2239471653, 2673, 1735620
114149.3221989006, 2672, 1731662
116393.42438056275, 2671, 1735523
116393.42438056275, 2670, 1725238
114941.88605403627, 2669, 1731461
114941.88605403627, 2668, 1730611
115723.65351571358, 2667, 1730740
114969.67773269917, 2666, 1728390
115016.58639483564, 2665, 1729508
113719.57271751939, 2664, 1729539
119201.61926453076, 2663, 1731124
113062.65255967023, 2662, 1734271
113692.79172797404, 2661, 1739855
113692.79172797404, 2660, 1743702
117982.6395670966, 2659, 1744637
112895.23090162856, 2658, 1739217
112895.23090162856, 2657, 1734362
118226.81789015951, 2656, 1738801
112025.48500701702, 2655, 1738175
110907.0535205405, 2654, 1739676
110907.0535205405, 2653, 1739504
110907.0535205405, 2652, 1733155
110907.0535205405, 2651, 1736988
115054.76518673693, 2650, 1738903
119443.22275448209, 2649, 1733824
121749.88876295341, 2648, 1741701
123764.09674371312, 2647, 1738075
120933.87889761034, 2646, 1739378
108198.70093465353, 2645, 1744534
108198.70093465353, 2644, 1741901
120128.43192631342, 2643, 1740141
110525.18857974306, 2642, 1739571
107992.14000916656, 2641, 1738003
120128.43192631342, 2640, 1737635
98035.38596674193, 2639, 1736696
117476.99767606899, 2638, 1742447
115791.53349904665, 2637, 1743993
115791.53349904665, 2636, 1744218
115736.65207257996, 2635, 1744238
115791.53349904665, 2634, 1744066
115791.53349904665, 2633, 1744766
118093.75478715976, 2632, 1749004
114155.73847915899, 2631, 1747144
116519.04216132275, 2630, 1745626
116519.04216132275, 2629, 1749335
114075.49124568305, 2628, 1753537
115757.7244981331, 2627, 1751152
120085.47941117545, 2626, 1752965
121082.38685382882, 2625, 1750977
121082.38685382882, 2624, 1748702
120126.9884489141, 2623, 1748212
112236.01295513542, 2622, 1741783
112236.01295513542, 2621, 1743318
112236.01295513542, 2620, 1744899
112236.01295513542, 2619, 1743115
112236.01295513542, 2618, 1744877
112236.01295513542, 2617, 1748129
121232.22362922049, 2616, 1756194
120365.37699443777, 2615, 1758399
