适应度, 迭代次数, 距离之和
102173.81463036293, 2661, 711220
99520.4618837775, 2660, 701650
99520.4618837775, 2659, 686294
100886.98325821072, 2658, 681738
100132.55145153288, 2657, 678436
100132.55145153288, 2656, 661332
100132.55145153288, 2655, 676372
100132.55145153288, 2654, 684022
100132.55145153288, 2653, 681620
100132.55145153288, 2652, 679164
100132.55145153288, 2651, 682312
100132.55145153288, 2650, 697824
100132.55145153288, 2649, 708308
97438.39410914356, 2648, 715316
98843.42525415526, 2647, 704800
99919.44607063582, 2646, 690596
96225.1472110539, 2645, 715236
96225.1472110539, 2644, 726268
96225.1472110539, 2643, 733636
96225.1472110539, 2642, 754862
96225.1472110539, 2641, 737712
96225.1472110539, 2640, 728610
96225.1472110539, 2639, 722412
96225.1472110539, 2638, 704944
96225.1472110539, 2637, 702934
96225.1472110539, 2636, 698852
95542.07582764259, 2635, 704614
95542.07582764259, 2634, 696564
95542.07582764259, 2633, 674128
95542.07582764259, 2632, 675810
95542.07582764259, 2631, 652170
95542.07582764259, 2630, 643418
95542.07582764259, 2629, 639618
95542.07582764259, 2628, 616016
95542.07582764259, 2627, 659362
95542.07582764259, 2626, 704338
95169.15649534871, 2625, 668950
95542.07582764259, 2624, 649990
95542.07582764259, 2623, 658830
95542.07582764259, 2622, 711268
99119.36046400969, 2621, 692168
99119.36046400969, 2620, 702498
99119.36046400969, 2619, 730678
99669.83226323675, 2618, 703520
99322.20612380965, 2617, 739972
99322.20612380965, 2616, 779086
99322.20612380965, 2615, 793546
99322.20612380965, 2614, 794816
99427.44788256616, 2613, 810920
98817.30483988077, 2612, 810744
98817.30483988077, 2611, 822358
98767.1632511013, 2610, 838480
96863.98566929242, 2609, 825256
98767.1632511013, 2608, 833824
98767.1632511013, 2607, 835658
98767.1632511013, 2606, 839688
98767.1632511013, 2605, 829476
98767.1632511013, 2604, 833242
99719.73385811917, 2603, 848852
97628.63504304239, 2602, 843984
98009.34522853271, 2601, 846692
99719.73385811917, 2600, 847742
99719.73385811917, 2599, 839154
99719.73385811917, 2598, 854468
99719.73385811917, 2597, 877690
99719.73385811917, 2596, 863054
99485.06725734955, 2595, 872558
99485.06725734955, 2594, 876764
99719.73385811917, 2593, 886820
99719.73385811917, 2592, 880006
97555.69405515466, 2591, 866490
98007.34735789812, 2590, 882066
99719.73385811917, 2589, 874358
96910.3021268788, 2588, 866988
99719.73385811917, 2587, 866774
99719.73385811917, 2586, 885858
97621.69563130576, 2585, 905874
97621.69563130576, 2584, 919300
98152.39266756848, 2583, 904760
98152.39266756848, 2582, 914820
99719.73385811917, 2581, 910662
99548.47333599693, 2580, 893966
99548.47333599693, 2579, 911544
100911.09936550797, 2578, 936980
100911.09936550797, 2577, 940844
100911.09936550797, 2576, 955262
101469.18923935285, 2575, 943648
100961.86989207804, 2574, 939052
101469.18923935285, 2573, 934698
101469.18923935285, 2572, 953138
100686.60033445038, 2571, 960012
100686.60033445038, 2570, 963946
99978.72954480509, 2569, 968550
101366.02543033197, 2568, 974174
101170.73395000015, 2567, 969340
101710.13187924612, 2566, 979780
101420.81894293897, 2565, 980986
101420.81894293897, 2564, 981280
102152.3423833324, 2563, 974830
102152.3423833324, 2562, 975494
102152.3423833324, 2561, 984492
102641.3974468718, 2560, 985564
101657.55476328723, 2559, 989992
103196.03293430377, 2558, 1003906
103855.60933918733, 2557, 999592
103855.60933918733, 2556, 1001230
102312.06912976815, 2555, 987308
103031.37418442893, 2554, 994420
102553.82899831663, 2553, 1001530
104243.71798164585, 2552, 995326
103094.61891444377, 2551, 993942
101689.80971960831, 2550, 1002136
100178.93458093265, 2549, 1017166
99429.88643950011, 2548, 1030160
100178.93458093265, 2547, 1055044
100178.93458093265, 2546, 1053848
100178.93458093265, 2545, 1070904
100178.93458093265, 2544, 1061240
100178.93458093265, 2543, 1062530
100178.93458093265, 2542, 1055718
100178.93458093265, 2541, 1052692
100178.93458093265, 2540, 1039746
100178.93458093265, 2539, 1030410
102426.43313452769, 2538, 1042682
101015.13536688854, 2537, 1058614
101015.13536688854, 2536, 1056710
98803.23425745309, 2535, 1070772
98803.23425745309, 2534, 1074176
98803.23425745309, 2533, 1080312
98803.23425745309, 2532, 1073716
98803.23425745309, 2531, 1058882
98803.23425745309, 2530, 1023002
95974.17463077628, 2529, 994472
98803.23425745309, 2528, 969068
98803.23425745309, 2527, 945170
96185.2833074666, 2526, 891222
96185.2833074666, 2525, 894356
96185.2833074666, 2524, 915538
96185.2833074666, 2523, 874036
96185.2833074666, 2522, 909080
96185.2833074666, 2521, 878552
96185.2833074666, 2520, 873364
96185.2833074666, 2519, 928450
94525.61979045704, 2518, 887932
94118.7614526027, 2517, 828218
94874.56539166256, 2516, 846126
94295.39190881923, 2515, 818064
91525.60240375724, 2514, 852926
91235.25448228237, 2513, 871402
91525.60240375724, 2512, 881922
91525.60240375724, 2511, 840844
91525.60240375724, 2510, 814334
91764.61295401132, 2509, 845746
91764.61295401132, 2508, 862348
91525.60240375724, 2507, 842504
91525.60240375724, 2506, 806454
91525.60240375724, 2505, 801908
91525.60240375724, 2504, 776560
90214.88448795318, 2503, 775726
90214.88448795318, 2502, 811840
90214.88448795318, 2501, 760474
90214.88448795318, 2500, 728298
88696.54277708041, 2499, 722300
87385.82486127637, 2498, 735768
87385.82486127637, 2497, 738956
90020.29420389766, 2496, 780630
90214.88448795318, 2495, 762414
90214.88448795318, 2494, 802704
90755.81126255685, 2493, 762828
88630.12435670891, 2492, 747308
88630.12435670891, 2491, 753048
88630.12435670891, 2490, 777850
88696.54277708041, 2489, 771174
88696.54277708041, 2488, 772856
88696.54277708041, 2487, 712634
87960.25642032574, 2486, 691238
88696.54277708041, 2485, 713556
88696.54277708041, 2484, 690498
88696.54277708041, 2483, 671760
88696.54277708041, 2482, 698706
88650.46046483179, 2481, 693036
85596.89550370166, 2480, 632652
85596.89550370166, 2479, 586772
88696.54277708041, 2478, 559948
88696.54277708041, 2477, 531542
88696.54277708041, 2476, 485782
88696.54277708041, 2475, 514280
88696.54277708041, 2474, 544668
88696.54277708041, 2473, 542268
87960.25642032574, 2472, 533862
87960.25642032574, 2471, 535902
87523.12159637864, 2470, 517184
87523.12159637864, 2469, 519810
87523.12159637864, 2468, 487290
86809.24625783607, 2467, 492486
87523.12159637864, 2466, 484004
87523.12159637864, 2465, 486838
87523.12159637864, 2464, 498422
86415.32637909024, 2463, 471766
86415.32637909024, 2462, 475624
86415.32637909024, 2461, 471932
86415.32637909024, 2460, 507548
86415.32637909024, 2459, 476764
86415.32637909024, 2458, 450002
86415.32637909024, 2457, 404520
85596.89550370166, 2456, 397788
83925.90047872883, 2455, 389880
85596.89550370166, 2454, 369526
86415.32637909024, 2453, 368228
86415.32637909024, 2452, 357956
86415.32637909024, 2451, 330954
86415.32637909024, 2450, 328326
86848.3186720542, 2449, 326146
86848.3186720542, 2448, 332670
86848.3186720542, 2447, 312652
86848.3186720542, 2446, 308564
86848.3186720542, 2445, 294864
87982.66743853784, 2444, 304954
87982.66743853784, 2443, 308630
87982.66743853784, 2442, 281948
86345.32739518605, 2441, 278320
86345.32739518605, 2440, 261252
86345.32739518605, 2439, 248372
86345.32739518605, 2438, 250526
86345.32739518605, 2437, 257730
86092.77603989046, 2436, 227072
86092.77603989046, 2435, 228238
